Unique,episode_title ,episode_length,season,location_episodes,characters_episodes,male_characters,episode_awards,female_characters,ratings_episodes,rachel_mc,monica_mc,phoebe_mc,episode_runtime,joey_mc,chandler_mc,ross_mc,episode_type,location_episode,mem_relationship,cp_visit,guest_stars,episode_runtime
F001 1,The One where Monica Gets a Roommate,22,1,4,7,6,0,3,8.1,1,1,0,2,0,0,0,1,1,1,4,0,1
F001 2 ,The One with the Sonogram at the End ,22,1,6,7,6,0,3,7.8,1,1,0,1,0,0,1,1,1,1,3,0,1
F001 3,The One with the Thumb,22,1,4,8,6,0,3,8,0,1,1,1,0,1,0,1,1,1,3,0,1
F001 4,The One with George Stephanopoulos,22,1,4,8,7,0,3,7.9,0,0,0,1,1,1,1,1,4,1,2,1,1
F001 5 ,The One with the East German Laundry Detergent ,22,1,5,7,6,0,4,8.3,1,1,0,1,1,1,1,1,4,1,2,0,1
F001 6,The One with the Butt ,22,1,5,7,6,0,3,8,1,1,0,1,1,1,0,1,1,1,3,0,1
F001 7,The One with the Blackout ,22,1,4,7,7,0,3,8.9,1,0,0,1,0,1,1,1,1,1,1,0,1
F001 8,The One Where Nana Dies Twice ,22,1,5,8,6,0,3,7.9,0,1,0,1,0,1,1,1,1,1,2,0,1
F001 9,The One Where Underdog Gets Away ,22,1,5,8,7,0,4,8.1,1,1,0,1,0,0,0,1,1,1,2,0,1
F001 10,The One with the Monkey ,22,1,5,7,6,0,4,7.9,0,0,1,1,0,0,1,1,1,1,3,0,1
F001 11,The One with Mrs. Bing ,22,1,4,9,6,0,3,8,0,1,1,1,1,1,1,1,1,1,2,0,1
F001 12,The One with the Dozen Lasagnas ,22,1,4,8,6,0,4,8,1,0,1,1,1,1,1,1,1,1,3,0,1
F001 13,The One with the Boobies,22,1,4,7,6,0,4,8.5,1,0,1,1,1,1,0,1,1,1,2,0,1
F001 14,The One with the Candy Hearts ,22,1,4,8,6,0,5,8.1,0,0,0,1,1,1,1,1,4,1,2,0,1
F001 15,The One with the Stoned Guy,22,1,3,7,6,0,5,8,0,1,0,1,0,0,1,1,1,0,1,0,1
F001 16,The One with Two Parts: Part 1 ,22,1,4,7,7,0,3,8,0,1,1,1,1,1,1,1,1,1,3,0,1
F001 17,The One with Two Parts: Part 2 ,22,1,4,8,7,0,3,8.3,1,0,0,1,1,0,0,1,1,1,3,0,1
F001 18 ,The One with All the Poker ,22,1,3,7,6,0,4,8.7,1,0,0,1,0,0,0,1,1,1,2,0,1
F001 19 ,The One Where the Monkey Gets Away ,22,1,4,7,6,0,3,7.9,1,0,0,1,0,0,1,1,1,1,3,0,1
F001 20 ,The One with the Evil Orthodontist ,22,1,4,7,6,0,4,7.7,1,1,0,1,0,1,0,1,1,1,2,0,1
F001 21,The One with the Fake Monica ,22,1,6,7,6,0,5,7.6,0,1,0,1,1,0,1,1,1,0,2,0,1
F001 22,The One with the Ick Factor ,22,1,6,7,6,0,3,8.1,0,0,1,1,0,1,0,1,3,0,3,0,1
F001 23,The One with the Birth,22,1,6,8,6,0,6,8.6,1,0,0,1,1,0,1,1,4,1,1,0,1
F001 24,The One Where Rachel Finds out ,22,1,5,8,4,0,3,8.7,1,1,0,1,1,1,1,1,1,1,3,0,1
F002 1,The One with Ross's New Girlfriend,22,2,6,7,4,0,4,8.4,1,0,0,1,1,1,1,1,4,1,3,0,1
F002 2 ,The One with the Breast Milk,22,2,7,7,5,0,4,8,0,0,0,1,1,0,1,1,4,1,3,0,1
F002 3,The One Where Heckles Dies,22,2,7,8,5,0,4,8.2,0,0,0,1,0,1,1,1,1,1,2,0,1
F002 4,The One with Phoebe's Husband,22,2,5,8,5,0,3,7.8,0,0,1,1,0,0,0,1,1,1,1,0,1
F002 5 ,The One with Five Steaks and an Eggplant,22,2,4,8,4,0,3,8.1,0,1,0,1,1,1,1,1,1,1,3,0,1
F002 6,The One with the Baby on the Bus ,22,2,6,7,5,0,5,8.4,0,0,0,1,1,1,1,1,4,1,3,1,1
F002 7,The One Where Ross Finds Out ,22,2,5,8,4,0,3,8.9,0,0,0,1,0,1,1,1,1,1,3,0,1
F002 8,The One with the List ,22,2,5,7,5,0,4,8.3,1,0,0,1,1,1,1,1,1,1,2,0,1
F002 9,The One with Phoebe's Dad ,22,2,4,8,5,0,4,7.8,0,0,1,1,0,0,0,1,1,1,2,0,1
F002 10,The One with Russ,22,2,4,8,5,0,4,7.8,1,0,0,1,0,0,1,1,1,1,3,0,1
F002 11,The One with the Lesbian Wedding,22,2,5,8,8,0,4,7.9,1,0,0,1,0,0,0,1,4,1,1,0,1
F002 12,The One After the Superbowl: Part 1,44,2,6,10,8,1,5,8.5,0,0,0,2,1,0,1,1,1,1,1,1,2
F002 13,The One After the Superbowl: Part 2,44,2,6,10,5,0,3,8.6,0,0,0,2,0,1,1,1,1,1,1,1,2
F002 14,The One with the Prom Video ,22,2,4,8,5,2,3,9.3,1,1,0,1,1,1,0,1,1,1,3,0,1
F002 15,The One Where Ross and Rachel ... You Know ,22,2,4,8,5,0,3,8.7,0,0,0,1,0,1,1,1,4,1,3,0,1
F002 16,The One Where Joey Moves Out ,22,2,4,8,4,0,3,8.5,1,1,0,1,1,1,0,1,1,1,2,0,1
F002 17,The One Where Eddie Moves In,22,2,5,7,5,0,3,8.1,0,0,0,1,0,1,1,1,1,1,3,0,1
F002 18 ,The One Where Dr. Ramoray Dies ,22,2,5,8,5,0,3,8.3,0,0,0,1,1,1,1,1,1,1,2,0,1
F002 19 ,The One Where Eddie Won't Go ,22,2,5,8,4,0,3,8.3,0,0,0,1,1,1,1,1,1,1,3,0,1
F002 20 ,The One Where Old Yeller Dies ,22,2,5,7,5,0,3,8,0,0,0,1,1,1,1,1,1,1,3,0,1
F002 21,The One with the Bullies,22,2,5,8,5,0,3,7.9,0,0,1,1,1,1,1,1,2,1,4,0,1
F002 22,The One with the Two Parties,22,2,5,8,6,0,4,8.9,0,0,0,1,0,0,0,1,1,1,1,0,1
F002 23,The One with the Chicken Pox,22,2,5,9,6,0,3,7.9,0,0,0,1,1,1,0,1,3,0,2,1,1
F002 24,The One with Barry and Mindy's Wedding,22,2,5,9,6,0,3,8.1,1,1,0,1,1,1,1,1,1,1,1,1,1
F003 1,The One with the Princess Leia Fantasy ,22,3,4,7,4,0,3,8.3,1,0,0,1,1,1,1,1,1,1,3,0,1
F003 2 ,The One Where No One's Ready ,22,3,7,7,4,0,4,8.9,1,0,0,1,1,1,1,1,4,1,1,0,1
F003 3,The One with the Jam ,22,3,6,8,5,0,4,7.8,0,0,0,1,0,0,0,1,4,0,2,0,1
F003 4,The One with the Metaphorical Tunnel,22,3,6,8,5,0,4,7.8,0,0,0,1,1,1,1,1,1,0,2,0,1
F003 5 ,The One with Frank Jr.,22,3,7,8,5,0,3,8,0,0,0,1,1,0,1,1,4,0,3,1,1
F003 6,The One with the Flashback,22,3,7,7,4,0,4,9,1,0,0,1,0,0,0,1,4,0,2,0,1
F003 7,The One with the Race Car Bed,22,3,6,8,5,0,4,8.1,0,0,0,1,1,0,1,1,4,0,2,1,1
F003 8,The One with the Giant Poking Device,22,3,6,8,5,0,4,8.2,0,0,0,1,1,1,0,1,1,1,3,0,1
F003 9,The One with the Football,22,3,6,8,5,0,3,8.9,0,0,0,1,0,0,1,1,4,0,1,0,1
